year,day,hour,avg
2012,10,19,966.8344444
2012,10,20,967.39
2012,10,21,968.0155556
2012,10,22,968.7977778
2012,10,23,968.7933333
2012,11,0,969.1976471
2012,11,1,968.7377778
2012,11,2,968.5155556
2012,11,3,968.4044444
2012,11,4,968.1266667
2012,11,5,968.3388889
2012,11,6,967.8988235
2012,11,7,968.96
2012,11,8,968.8994444
2012,11,9,968.52
2012,11,10,967.9644444
2012,11,11,967.52
2012,11,12,966.1772222
2012,11,13,964.9961111
2012,11,14,965.8047059
2012,11,15,963.0933333
2012,11,16,965.8635294
2012,11,17,964.825
2012,11,18,969.3541176
2012,11,19,969.8882353
2012,11,20,970.4817647
2012,11,21,968.6822222
2012,11,22,968.7933333
2012,11,23,971.4870588
2012,12,0,971.4229412
2012,12,1,964.4718182
2012,12,2,945.5475
2012,12,3,968.01
2012,12,4,961.402
2012,12,5,968.002
2012,12,6,934.7
2012,12,7,946.7975
2012,12,8,935.3966667
2012,12,9,970.5573333
2012,12,10,967.04
2012,12,11,941.595
2012,12,12,960.6688889
2012,12,13,963.65
2012,12,14,962.6311111
2012,12,15,943.3975
2012,12,16,958.468
2012,12,17,933.2566667
2012,12,18,965.2055556
2012,12,19,966.5472222
2012,12,20,962.002
2012,12,21,941.05
2012,12,22,935.0633333
2012,12,23,941.595
2012,13,0,967.2464706
2012,13,1,954.3666667
2012,13,2,933.3666667
2012,13,3,962.6309091
2012,13,4,966.2744444
2012,13,5,962.63
2012,13,6,960.802
2012,13,7,963.1836364
2012,13,8,966.1188235
2012,13,9,934.0366667
2012,13,10,965.5405882
2012,13,11,960.119
2012,13,12,961.82
2012,13,13,932.95
2012,13,14,959.2436364
2012,13,15,961.8616667
2012,13,16,962.3616667
2012,13,17,963.195
2012,13,18,964.195
2012,13,19,964.4266667
2012,13,20,964.76
2012,13,21,965.2644444
2012,13,22,965.9811765
2012,13,23,965.7458824
2012,14,0,965.5105882
2012,14,1,964.5377778
2012,14,2,964.0933333
2012,14,3,963.26
2012,14,4,962.8435294
2012,14,5,962.5744444
2012,14,6,962.8011111
2012,14,7,963.4172222
2012,14,8,963.9758824
2012,14,9,963.3341176
2012,14,10,963.1576471
2012,14,11,962.656875
2012,14,12,961.276875
2012,14,13,960.20875
2012,14,14,959.073125
2012,14,15,958.5
2012,14,16,959.0
2012,14,17,960.3933333
2012,14,18,961.4538889
2012,14,19,962.2411111
2012,14,20,962.7455556
2012,14,21,963.3566667
2012,14,22,963.6394444
2012,14,23,963.3616667
2012,15,0,963.1344444
2012,15,1,963.0233333
2012,15,2,962.69
2012,15,3,962.2455556
2012,15,4,962.0144444
2012,15,5,962.2411111
2012,15,6,963.3776471
2012,15,7,966.49
2012,15,8,966.9017647
2012,15,9,963.9866667
2012,15,10,963.5105882
2012,15,11,963.0352941
2012,15,12,965.5333333
2012,15,13,963.76
2012,15,14,959.2941176
2012,15,15,959.0588235
2012,15,16,958.9311765
2012,15,17,959.3333333
2012,15,18,960.9488889
2012,15,19,961.7366667
2012,15,20,962.5188889
2012,15,21,963.4952941
2012,15,22,963.9123529
2012,15,23,963.8482353
2012,16,0,966.7025
2012,16,1,963.3011111
2012,16,2,962.9122222
2012,16,3,962.7455556
2012,16,4,962.5144444
2012,16,5,965.4211765
2012,16,6,963.2455556
2012,16,7,963.9727778
2012,16,8,963.8616667
2012,16,9,963.0838889
2012,16,10,962.8061111
2012,16,11,962.02
2012,16,12,961.0688235
2012,16,13,959.5882353
2012,16,14,958.0541176
2012,16,15,957.8676471
2012,16,16,957.99
2012,16,17,958.0461111
2012,16,18,960.0044444
2012,16,19,960.6155556
2012,16,20,961.3377778
2012,16,21,962.13
2012,16,22,962.4077778
2012,16,23,962.4077778
2012,17,0,962.4077778
2012,17,1,962.4077778
2012,17,2,962.2966667
2012,17,3,961.9027778
2012,17,4,961.6811111
2012,17,5,962.07
2012,17,6,962.8011111
2012,17,7,963.4122222
2012,17,8,963.195
2012,17,9,962.8566667
2012,17,10,962.3011111
2012,17,11,961.8566667
2012,17,12,960.63
2012,17,13,958.0047059
2012,17,14,957.245
2012,17,15,958.2941176
2012,17,16,958.1664706
2012,17,17,958.4955556
2012,17,18,960.2266667
2012,17,19,960.6711111
2012,17,20,961.5094444
2012,17,21,962.3522222
2012,17,22,962.9611765
2012,17,23,962.9023529
2012,18,0,965.89
2012,18,1,965.1317647
2012,18,2,962.1855556
2012,18,3,961.8983333
2012,18,4,962.07
2012,18,5,964.8917647
2012,18,6,963.19
2012,18,7,966.7252941
2012,18,8,963.9777778
2012,18,9,963.5377778
2012,18,10,962.9172222
2012,18,11,962.4222222
2012,18,12,961.2411111
2012,18,13,960.13
2012,18,14,958.7822222
2012,18,15,958.5555556
2012,18,16,958.6155556
2012,18,17,959.4488889
2012,18,18,960.8933333
2012,18,19,961.6255556
2012,18,20,965.0094118
2012,18,21,962.8011111
2012,18,22,966.2494118
2012,18,23,963.8111111
2012,19,0,966.89
2012,19,1,966.3082353
2012,19,2,963.3616667
2012,19,3,965.9552941
2012,19,4,963.19
2012,19,5,966.1317647
2012,19,6,964.195
2012,19,7,967.7252941
2012,19,8,964.9311111
2012,19,9,964.5977778
2012,19,10,964.3982353
2012,19,11,963.7458824
2012,19,12,962.8582353
2012,19,13,961.4364706
2012,19,14,960.1864706
2012,19,15,959.7747059
2012,19,16,959.7158824
2012,19,17,959.9538889
2012,19,18,961.2922222
2012,19,19,965.1875
2012,19,20,965.8125
2012,19,21,966.4375
2012,19,22,966.9375
2012,19,23,967.8
2012,20,0,964.704375
2012,20,1,963.6394444
2012,20,2,963.4172222
2012,20,3,963.135
2012,20,4,962.9677778
2012,20,5,963.0788889
2012,20,6,963.5788889
2012,20,7,964.3666667
2012,20,8,964.4266667
2012,20,9,963.9822222
2012,20,10,964.2211765
2012,20,11,963.3929412
2012,20,12,962.7994118
2012,20,13,961.26
2012,20,14,960.0741176
2012,20,15,959.948125
2012,20,16,960.385625
2012,20,17,960.5144444
2012,20,18,961.6811111
2012,20,19,962.0788889
2012,20,20,962.7505556
2012,20,21,962.9727778
2012,20,22,963.195
2012,20,23,963.4727778
2012,21,0,963.3616667
2012,21,1,963.2505556
2012,21,2,963.26
2012,21,3,962.9070588
2012,21,4,962.6623529
2012,21,5,962.6670588
2012,21,6,963.0788235
2012,21,7,963.3011111
2012,21,8,963.2505556
2012,21,9,962.8616667
2012,21,10,962.2555556
2012,21,11,962.0333333
2012,21,12,960.8566667
2012,21,13,959.57
2012,21,14,958.8377778
2012,21,15,958.56
2012,21,16,958.8933333
2012,21,17,959.4538889
2012,21,18,960.7316667
2012,21,19,961.5744444
2012,21,20,964.8329412
2012,21,21,962.9172222
2012,21,22,963.5283333
2012,21,23,963.8111111
2012,22,0,966.49
2012,22,1,966.6076471
2012,22,2,963.7
2012,22,3,963.4727778
2012,22,4,963.3566667
2012,22,5,966.3082353
2012,22,6,964.6488889
2012,22,7,968.0241176
2012,22,8,968.2005882
2012,22,9,965.1633333
2012,22,10,964.4361111
2012,22,11,963.76
2012,22,12,962.8711111
2012,22,13,961.5888889
2012,22,14,960.5788889
2012,22,15,960.13
2012,22,16,960.0188889
2012,22,17,960.7411111
2012,22,18,962.5788889
2012,22,19,963.3616667
2012,22,20,963.7555556
2012,22,21,964.7088889
2012,22,22,965.4361111
2012,22,23,965.2138889
2012,23,0,965.0422222
2012,23,1,967.7252941
2012,23,2,964.76
2012,23,3,967.1958824
2012,23,4,967.1958824
2012,23,5,967.2547059
2012,23,6,968.0829412
2012,23,7,965.9916667
2012,23,8,965.7138889
2012,23,9,965.325
2012,23,10,964.7138889
2012,23,11,964.0977778
2012,23,12,962.9316667
2012,23,13,961.5283333
2012,23,14,960.3522222
2012,23,15,959.8522222
2012,23,16,959.6855556
2012,23,17,960.2966667
2012,23,18,962.0744444
2012,23,19,962.69
2012,23,20,963.7217647
2012,23,21,963.8111111
2012,23,22,964.2044444
2012,23,23,964.4266667
2012,24,0,966.9605882
2012,24,1,966.9017647
2012,24,2,963.8666667
2012,24,3,963.5283333
2012,24,4,963.5888889
2012,24,5,966.4258824
2012,24,6,964.3666667
2012,24,7,967.6076471
2012,24,8,963.8047059
2012,24,9,963.8111111
2012,24,10,963.76
2012,24,11,963.3155556
2012,24,12,962.0327778
2012,24,13,960.9172222
2012,24,14,959.5094444
2012,24,15,959.0835714
2012,24,16,961.78
2012,24,17,960.07
2012,24,18,961.7366667
2012,24,19,962.2411111
2012,24,20,963.2505556
2012,24,21,963.4727778
2012,24,22,964.0888889
2012,24,23,964.0333333
2012,25,0,966.7252941
2012,25,1,966.7252941
2012,25,2,966.7252941
2012,25,3,963.5838889
2012,25,4,963.695
2012,25,5,966.4311765
2012,25,6,964.4777778
2012,25,7,967.7252941
2012,25,8,967.4947059
2012,25,9,964.5377778
2012,25,10,963.9822222
2012,25,11,963.4266667
2012,25,12,962.3661111
2012,25,13,961.3666667
2012,25,14,959.7916667
2012,25,15,959.4583333
2012,25,16,959.3427778
2012,25,17,960.3477778
2012,25,18,961.9633333
2012,25,19,962.6344444
2012,25,20,963.5333333
2012,25,21,967.0241176
2012,25,22,964.7
2012,25,23,963.9223529
2012,26,0,966.713125
2012,26,1,967.3135294
2012,26,2,966.9605882
2012,26,3,964.1394444
2012,26,4,964.1444444
2012,26,5,966.9605882
2012,26,6,967.1370588
2012,26,7,968.2594118
2012,26,8,967.8476471
2012,26,9,964.9822222
2012,26,10,964.2694444
2012,26,11,963.7644444
2012,26,12,962.5933333
2012,26,13,961.2555556
2012,26,14,959.9033333
2012,26,15,959.4033333
2012,26,16,959.5094444
2012,26,17,960.2922222
2012,26,18,961.8522222
2012,26,19,962.7455556
2012,26,20,963.5888889
2012,26,21,963.8666667
2012,26,22,966.895625
2012,26,23,964.2117647
2012,27,0,966.958125
2012,27,1,967.0782353
2012,27,2,967.0194118
2012,27,3,966.9605882
2012,27,4,964.3111111
2012,27,5,966.9605882
2012,27,6,962.7775
2012,27,7,968.2005882
2012,27,8,967.9064706
2012,27,9,964.9266667
2012,27,10,964.1488889
2012,27,11,964.0977778
2012,27,12,963.0933333
2012,27,13,961.8111111
2012,27,14,960.69
2012,27,15,959.8522222
2012,27,16,960.2411111
2012,27,17,960.9677778
2012,27,18,964.7894118
2012,27,19,965.3188235
2012,27,20,963.7
2012,27,21,967.2594118
2012,27,22,964.9866667
2012,27,23,965.5472222
2012,28,0,968.0882353
2012,28,1,967.275625
2012,28,2,967.5535294
2012,28,3,964.7088889
2012,28,4,964.7044444
2012,28,5,967.7888235
2012,28,6,968.2005882
2012,28,7,968.8529412
2012,28,8,968.5
2012,28,9,965.33
2012,28,10,964.6027778
2012,28,11,964.1533333
2012,28,12,963.265
2012,28,13,960.594375
2012,28,14,958.95875
2012,28,15,958.010625
2012,28,16,958.010625
2012,28,17,960.6623529
2012,28,18,962.0152941
2012,28,19,962.5447059
2012,28,20,962.7455556
2012,28,21,966.2494118
2012,28,22,964.4822222
2012,28,23,964.4222222
2012,29,0,967.2005882
2012,29,1,967.0782353
2012,29,2,967.0194118
2012,29,3,963.8111111
2012,29,4,963.8111111
2012,29,5,967.520625
2012,29,6,968.020625
2012,29,7,968.0829412
2012,29,8,967.73
2012,29,9,964.9866667
2012,29,10,964.1533333
2012,29,11,963.7044444
2012,29,12,963.3288235
2012,29,13,961.8535294
2012,29,14,960.8435294
2012,29,15,959.26625
2012,29,16,959.26625
2012,29,17,961.2552941
2012,29,18,962.7894118
2012,29,19,963.2652941
2012,29,20,963.7555556
2012,29,21,967.0782353
2012,29,22,964.76
2012,29,23,964.825
2012,30,0,968.400625
2012,30,1,967.73
2012,30,2,967.5535294
2012,30,3,964.7644444
2012,30,4,964.82
2012,30,5,967.7888235
2012,30,6,968.2594118
2012,30,7,968.6764706
2012,30,8,968.4411765
2012,30,9,965.325
2012,30,10,965.39
2012,30,11,966.4670588
2012,30,12,963.9316667
2012,30,13,962.5933333
2012,30,14,961.5838889
2012,30,15,961.0188889
2012,30,16,961.7305882
2012,30,17,962.1344444
2012,30,18,963.5333333
2012,30,19,964.3666667
2012,30,20,965.32
2012,30,21,966.2188889
2012,30,22,966.6077778
2012,30,23,966.5611111
2012,31,0,966.8835294
2012,31,1,966.3944444
2012,31,2,965.9966667
2012,31,3,965.9411111
2012,31,4,966.1676471
2012,31,5,966.1676471
2012,31,6,966.9423529
2012,31,7,967.0011111
2012,31,8,966.7277778
2012,31,9,966.5661111
2012,31,10,966.0661111
2012,31,11,965.45
2012,31,12,964.7277778
2012,31,13,963.325
2012,31,14,962.0888889
2012,31,15,961.8666667
2012,31,16,962.0333333
2012,31,17,963.0333333
2012,31,18,964.4822222
2012,31,19,965.1533333
2012,31,20,965.9361111
2012,31,21,967.06
2012,31,22,966.8388889
2012,31,23,966.5011111
2012,32,0,966.5611111
2012,32,1,966.33
2012,32,2,965.7138889
2012,32,3,965.4311111
2012,32,4,965.325
2012,32,5,965.32
2012,32,6,965.7694444
2012,32,7,966.4411111
2012,32,8,966.2833333
2012,32,9,965.9455556
2012,32,10,965.39
2012,32,11,964.89
2012,32,12,963.9916667
2012,32,13,962.7
2012,32,14,961.7358824
2012,32,15,961.5541176
2012,32,16,961.2552941
2012,32,17,962.3061111
2012,32,18,963.4777778
2012,32,19,964.1444444
2012,32,20,964.5933333
2012,32,21,965.5422222
2012,32,22,966.2188889
2012,32,23,966.2188889
2012,33,0,965.83
2012,33,1,965.83
2012,33,2,965.5472222
2012,33,3,965.0977778
2012,33,4,964.5933333
2012,33,5,964.9316667
2012,33,6,968.625
2012,33,7,969.1875
2012,33,8,969.4375
2012,33,9,966.2658824
2012,33,10,965.8344444
2012,33,11,965.0011111
2012,33,12,964.1633333
2012,33,13,962.9266667
2012,33,14,961.7
2012,33,15,961.0838889
2012,33,16,961.19
2012,33,17,962.5283333
2012,33,18,963.7555556
2012,33,19,964.8755556
2012,33,20,965.825
2012,33,21,966.7833333
2012,33,22,967.3388889
2012,33,23,967.5105556
2012,34,0,967.3438889
2012,34,1,966.8344444
2012,34,2,966.4455556
2012,34,3,965.9411111
2012,34,4,965.7744444
2012,34,5,965.83
2012,34,6,966.3855556
2012,34,7,966.8388889
2012,34,8,966.8438889
2012,34,9,966.3994444
2012,34,10,965.8438889
2012,34,11,965.5055556
2012,34,12,964.3855556
2012,34,13,963.0422222
2012,34,14,961.8111111
2012,34,15,961.1344444
2012,34,16,961.1344444
2012,34,17,962.1344444
2012,34,18,963.4777778
2012,34,19,964.2
2012,34,20,965.1533333
2012,34,21,966.4082353
2012,34,22,966.9376471
2012,34,23,967.1776471
2012,35,0,967.0011765
2012,35,1,966.4455556
2012,35,2,966.2788889
2012,35,3,965.7138889
2012,35,4,965.4916667
2012,35,5,968.2594118
2012,35,6,966.2188889
2012,35,7,969.6811765
2012,35,8,966.8944444
2012,35,9,966.3944444
2012,35,10,966.1722222
2012,35,11,965.3388889
2012,35,12,964.7233333
2012,35,13,962.82
2012,35,14,961.5333333
2012,35,15,961.2011765
2012,35,16,961.3188235
2012,35,17,961.5283333
2012,35,18,962.8616667
2012,35,19,963.8616667
2012,35,20,964.8755556
2012,35,21,965.7694444
2012,35,22,966.2188889
2012,35,23,966.4405556
2012,36,0,966.5566667
2012,36,1,968.9705882
2012,36,2,965.9966667
2012,36,3,965.6633333
2012,36,4,965.5472222
2012,36,5,968.2594118
2012,36,6,965.9361111
2012,36,7,969.2647059
2012,36,8,966.45
2012,36,9,966.0055556
2012,36,10,965.5611111
2012,36,11,964.7744444
2012,36,12,963.7138889
2012,36,13,962.3711111
2012,36,14,961.0838889
2012,36,15,959.4952941
2012,36,16,959.2505882
2012,36,17,963.2447059
2012,36,18,962.0788889
2012,36,19,962.7505556
2012,36,20,963.5838889
2012,36,21,964.4822222
2012,36,22,964.8155556
2012,36,23,964.7644444
2012,37,0,968.088125
