year,day,hour,avg
2012,10,22,19.99933333
2012,10,23,19.508
2012,11,0,19.32357143
2012,11,1,19.31142857
2012,11,2,18.96857143
2012,11,3,19.14642857
2012,11,4,18.93285714
2012,11,5,18.26857143
2012,11,6,17.86615385
2012,11,7,17.53357143
2012,11,8,18.55733333
2012,11,9,23.064
2012,11,10,27.744
2012,11,11,29.89333333
2012,11,12,31.546
2012,11,13,32.238
2012,11,14,33.99571429
2012,11,15,32.16133333
2012,11,16,31.71642857
2012,11,17,28.396
2012,11,18,25.58071429
2012,11,19,23.87785714
2012,11,20,22.83142857
2012,11,21,21.89733333
2012,11,22,21.37266667
2012,11,23,20.515
2012,12,0,20.30857143
2012,12,1,20.104
2012,12,2,20.085
2012,12,3,19.01777778
2012,12,4,18.86
2012,12,5,18.35444444
2012,12,6,16.83666667
2012,12,7,17.77
2012,12,8,17.80666667
2012,12,9,23.15416667
2012,12,10,25.24
2012,12,11,25.97
2012,12,12,28.42142857
2012,12,13,29.96125
2012,12,14,30.39
2012,12,15,26.36
2012,12,16,27.29333333
2012,12,17,21.57333333
2012,12,18,23.9025
2012,12,19,22.26133333
2012,12,20,21.29444444
2012,12,21,17.885
2012,12,22,19.76
2012,12,23,17.64
2012,13,0,21.46285714
2012,13,1,19.12333333
2012,13,2,20.76
2012,13,3,20.688
2012,13,4,20.558
2012,13,5,20.05
2012,13,6,19.48625
2012,13,7,19.62
2012,13,8,20.91214286
2012,13,9,21.88666667
2012,13,10,26.33
2012,13,11,27.3325
2012,13,12,26.855
2012,13,13,22.20666667
2012,13,14,27.344
2012,13,15,29.15333333
2012,13,16,26.90733333
2012,13,17,25.58333333
2012,13,18,23.46266667
2012,13,19,22.61133333
2012,13,20,22.246
2012,13,21,22.14666667
2012,13,22,21.97142857
2012,13,23,21.90785714
2012,14,0,21.87928571
2012,14,1,21.628
2012,14,2,21.50133333
2012,14,3,21.282
2012,14,4,21.14866667
2012,14,5,20.882
2012,14,6,20.56866667
2012,14,7,20.53533333
2012,14,8,20.78866667
2012,14,9,21.28133333
2012,14,10,22.12071429
2012,14,11,23.22428571
2012,14,12,24.70642857
2012,14,13,25.38571429
2012,14,14,26.38928571
2012,14,15,27.40384615
2012,14,16,26.67692308
2012,14,17,25.25428571
2012,14,18,22.64214286
2012,14,19,21.22071429
2012,14,20,20.72285714
2012,14,21,19.444
2012,14,22,20.37928571
2012,14,23,20.095
2012,15,0,19.96785714
2012,15,1,19.43142857
2012,15,2,19.08
2012,15,3,18.59571429
2012,15,4,18.075
2012,15,5,17.39642857
2012,15,6,16.84923077
2012,15,7,16.03142857
2012,15,8,16.77357143
2012,15,9,19.29466667
2012,15,10,25.10923077
2012,15,11,28.56384615
2012,15,12,30.43636364
2012,15,13,31.96833333
2012,15,14,33.24153846
2012,15,15,32.23076923
2012,15,16,31.50692308
2012,15,17,29.23214286
2012,15,18,23.35571429
2012,15,19,19.76642857
2012,15,20,18.59230769
2012,15,21,17.23416667
2012,15,22,16.67076923
2012,15,23,16.70166667
2012,16,0,16.5025
2012,16,1,15.64230769
2012,16,2,15.41923077
2012,16,3,15.27818182
2012,16,4,14.71545455
2012,16,5,14.367
2012,16,6,13.975
2012,16,7,13.1875
2012,16,8,14.50166667
2012,16,9,18.13066667
2012,16,10,22.21866667
2012,16,11,26.84076923
2012,16,12,29.02923077
2012,16,13,31.80307692
2012,16,14,33.00461538
2012,16,15,32.64307692
2012,16,16,32.15307692
2012,16,17,29.77
2012,16,18,23.35071429
2012,16,19,19.43928571
2012,16,20,18.24692308
2012,16,21,16.64076923
2012,16,22,16.47153846
2012,16,23,16.08769231
2012,17,0,15.69615385
2012,17,1,15.52166667
2012,17,2,14.8225
2012,17,3,15.12222222
2012,17,4,15.325
2012,17,5,15.11428571
2012,17,6,14.9
2012,17,7,13.88333333
2012,17,8,13.995
2012,17,9,17.86533333
2012,17,10,22.39133333
2012,17,11,26.77357143
2012,17,12,29.265
2012,17,13,31.98153846
2012,17,14,33.88583333
2012,17,15,33.26230769
2012,17,16,32.42538462
2012,17,17,30.28857143
2012,17,18,23.85
2012,17,19,19.90928571
2012,17,20,18.77615385
2012,17,21,16.80857143
2012,17,22,16.59461538
2012,17,23,16.82
2012,18,0,16.58833333
2012,18,1,15.93833333
2012,18,2,16.12
2012,18,3,15.9
2012,18,4,15.02222222
2012,18,5,14.54444444
2012,18,6,14.46666667
2012,18,7,13.4875
2012,18,8,14.38833333
2012,18,9,18.138
2012,18,10,23.24866667
2012,18,11,26.13933333
2012,18,12,29.09333333
2012,18,13,33.13571429
2012,18,14,35.02285714
2012,18,15,34.90214286
2012,18,16,33.67428571
2012,18,17,30.95
2012,18,18,24.74642857
2012,18,19,20.615
2012,18,20,19.56769231
2012,18,21,17.75
2012,18,22,17.87
2012,18,23,17.34769231
2012,19,0,16.995
2012,19,1,17.0375
2012,19,2,15.83833333
2012,19,3,15.63833333
2012,19,4,14.83083333
2012,19,5,14.93636364
2012,19,6,13.88083333
2012,19,7,13.76
2012,19,8,15.85833333
2012,19,9,19.724
2012,19,10,24.61571429
2012,19,11,27.58142857
2012,19,12,29.59071429
2012,19,13,31.92857143
2012,19,14,33.42714286
2012,19,15,33.18857143
2012,19,16,32.18
