year,day,hour,avg
2012,11,0,84.9
2012,11,1,86.4
2012,11,2,86.44444444
2012,11,3,85.66666667
2012,11,4,84.625
2012,11,5,88.375
2012,11,6,88
2012,11,7,88.4
2012,11,8,86.83333333
2012,11,9,78.07692308
2012,11,10,62.95285714
2012,11,11,55.33285714
2012,11,12,50.22642857
2012,11,13,48.30928571
2012,11,14,41.82076923
2012,11,15,41.06384615
2012,11,16,43.84615385
2012,11,17,48.42307692
2012,11,18,61.91076923
2012,11,19,70
2012,11,20,74.97384615
2012,11,21,80.98785714
2012,11,22,80.21769231
2012,11,23,83.97
2012,12,0,86.27272727
2012,12,1,84.14285714
2012,12,2,82.16666667
2012,12,3,89
2012,12,4,90.2
2012,12,5,88
2012,12,6,75
2012,12,7,84.5
2012,12,8,82
2012,12,9,83.05
2012,12,10,74.70875
2012,12,11,65.335
2012,12,12,62.08333333
2012,12,13,56.02125
2012,12,14,54.58375
2012,12,15,53.33333333
2012,12,16,57.02
2012,12,17,69.33
2012,12,18,72.3125
2012,12,19,80.35923077
2012,12,20,85.08375
2012,12,21,100.17
2012,12,22,90
2012,12,23,99.33
2012,13,0,87.31916667
2012,13,1,95.25
2012,13,2,62
2012,13,3,85.66666667
2012,13,4,91.4
2012,13,5,91
2012,13,6,95.25
2012,13,7,91.6
2012,13,8,93.33333333
2012,13,9,85.66666667
2012,13,10,75.57692308
2012,13,11,70.59428571
2012,13,12,69.484
2012,13,13,84.89
2012,13,14,69.684
2012,13,15,59.46153846
2012,13,16,65.03846154
2012,13,17,69.84615385
2012,13,18,79.47461538
2012,13,19,83.38916667
2012,13,20,86.23583333
2012,13,21,87.2775
2012,13,22,90.19727273
2012,13,23,89.66666667
2012,14,0,91.57545455
2012,14,1,89.66666667
2012,14,2,89.39625
2012,14,3,88.57142857
2012,14,4,89.28571429
2012,14,5,88.5
2012,14,6,91
2012,14,7,91.16666667
2012,14,8,91.83333333
2012,14,9,93.16666667
2012,14,10,93.57142857
2012,14,11,92.41666667
2012,14,12,88.125
2012,14,13,82.625
2012,14,14,74
2012,14,15,71
2012,14,16,73.56916667
2012,14,17,78.39769231
2012,14,18,87.92307692
2012,14,19,93.66636364
2012,14,20,96.625
2012,14,21,97.25
2012,14,22,87.25
2012,14,23,79
2012,15,0,93
2012,15,1,92
2012,15,2,93
2012,15,3,91.5
2012,15,4,91.5
2012,15,5,91
2012,15,6,70.33333333
2012,15,7,76.66666667
2012,15,8,86.4
2012,15,9,84.86363636
2012,15,10,73.37153846
2012,15,11,60.48769231
2012,15,12,48.81818182
2012,15,13,40.76416667
2012,15,14,35.73583333
2012,15,15,27.9725
2012,15,16,27.58333333
2012,15,17,34.61083333
2012,15,18,53.59
2012,15,19,69.23076923
2012,15,20,75.88461538
2012,15,21,80.44416667
2012,15,22,75
2012,15,23,76
2012,16,0,84
2012,16,1,86.16666667
2012,16,2,86.16666667
2012,16,3,84.8
2012,16,4,88.6
2012,16,5,89
2012,16,6,73.75
2012,16,7,76.75
2012,16,8,76.4
2012,16,9,74.41
2012,16,10,62.53571429
2012,16,11,50.47461538
2012,16,12,43.53846154
2012,16,13,36.23076923
2012,16,14,29.62090909
2012,16,15,26.36363636
2012,16,16,27.24
2012,16,17,29.30769231
2012,16,18,48.93538462
2012,16,19,65.28230769
2012,16,20,72.17923077
2012,16,21,79.39769231
2012,16,22,76.75
2012,16,23,85.8
2012,17,0,88.11111111
2012,17,1,86.71428571
2012,17,2,84.4
2012,17,3,91.6
2012,17,4,89.25
2012,17,5,88
